,Itemsets,Freq
18028,"['Organic Hass Avocado', 'Organic Baby Spinach', 'Organic Strawberries', 'Organic Cucumber', 'Bag of Organic Bananas']",47
19026,"['Organic Hass Avocado', 'Organic Baby Spinach', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",46
21062,"['Organic Hass Avocado', 'Organic Strawberries', 'Organic Cucumber', 'Bag of Organic Bananas', 'Organic Raspberries']",43
22846,"['Organic Hass Avocado', 'Organic Strawberries', 'Organic Lemon', 'Bag of Organic Bananas', 'Organic Raspberries']",40
23220,"['Limes', 'Large Lemon', 'Organic Baby Spinach', 'Banana', 'Organic Avocado']",40
25469,"['Organic Hass Avocado', 'Organic Baby Spinach', 'Organic Strawberries', 'Organic Lemon', 'Bag of Organic Bananas']",37
27106,"['Organic Garlic', 'Organic Hass Avocado', 'Organic Lemon', 'Organic Yellow Onion', 'Bag of Organic Bananas']",36
27316,"['Organic Hass Avocado', 'Organic Blueberries', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",36
28024,"['Organic Garlic', 'Organic Hass Avocado', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",35
28244,"['Organic Hass Avocado', 'Organic Strawberries', 'Organic Yellow Onion', 'Bag of Organic Bananas', 'Organic Raspberries']",35
28935,"['Organic Hass Avocado', 'Organic Strawberries', 'Organic Lemon', 'Organic Cucumber', 'Bag of Organic Bananas']",34
31149,"['Organic Baby Spinach', 'Organic Strawberries', 'Organic Cucumber', 'Bag of Organic Bananas', 'Organic Raspberries']",33
31478,"['Limes', 'Organic Hass Avocado', 'Organic Baby Spinach', 'Organic Strawberries', 'Bag of Organic Bananas']",32
31526,"['Organic Hass Avocado', 'Organic Large Extra Fancy Fuji Apple', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",32
33000,"['Organic Hass Avocado', 'Organic Zucchini', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",31
33558,"['Limes', 'Organic Hass Avocado', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",31
33604,"['Organic Hass Avocado', ""Organic D'Anjou Pears"", 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries']",31
35680,"['Organic Hass Avocado', 'Organic Strawberries', 'Bag of Organic Bananas', 'Organic Raspberries', 'Organic Kiwi']",30
36155,"['Organic Grape Tomatoes', 'Organic Hass Avocado', 'Organic Baby Spinach', 'Organic Strawberries', 'Bag of Organic Bananas']",30
36311,"['Organic Hass Avocado', 'Organic Strawberries', 'Organic Tomato Cluster', 'Bag of Organic Bananas', 'Organic Raspberries']",30
